,question,response_dict,policies_sorted
0,"Hi there,
I have just taken over an SLA room at RAF HWY in support of my Flexible Working agreement. Up until now I had been booking transit for each journey so I wanted to email and make sure my charges and claims were appropriate moving forward. I still own and live in my private residence when not at the office, so am I correct in thinking I do not then get charged for the SLA room? Having looked in JSP 752, I believe that instead of Manual HTD I would now instead be eligible for Get You Home Travel, which I believe is a daily rate rather than me submitting expense claims? I would be grateful if this could please be actioned from the 11 September 2024. My home address (which was used for the Manual HTD also) is approx. 140 miles from RAF High Wycombe.
","{'**Option 1:** You are correct that you will not be charged for the SLA room as you own and live in your private residence when not at the office. You are also correct that you are now eligible for Get You Home Travel (GYH(T)) instead of Manual Home to Duty Travel (HDT). GYH(T) is a daily rate, not an expense claim, and it will be paid to you as a contribution towards the cost of travel from your duty station to your qualifying residence. To action this change, you should notify the relevant authorities, and they will update your arrangements accordingly.': 'semantic', '**Option 2:** You are correct that that as you own a private residence elsewhere you will not pay for accommodation (NB: Accommodation charges not dealt with in the 752). This change in accommodation does now entitle you to claim Get You Home. You will need to provide the documentary evidence (Could the Bot extract list  from 07.0405?)  and then submit a ticket on the HR Hub to have this actioned. ': 'human', '**Option 3:** Yes, you are correct that you will not be charged for the SLA room as you own and live in your private residence when not at the office.': 'hierarchy'}","['04.0402', '07.0318', '07.0319', '07.0320', '07.0321', '07.0322', '07.0323', '07.0324', '07.0325', '07.0326', '07.0327', '07.0328', '07.0329', '07.0330', '07.0331', '07.0332', '07.0333', '07.0334', '07.0335', '07.0336', '07.0364', '07.0365', '07.0368', '07.0369', '07.0370', '07.0371', '07.0372', '07.0373', '07.0374', '07.0375', '07.0376', '07.0377', '07.0378', '07.0379', '07.0380', '07.0381', '07.0382', '07.0383', '07.0401', '07.0402', '07.0403', '12.0807', '12.0808', '12.0809', '12.0810', '12.0811', '12.0813']"
1,Please could you explain why I have got “25 days LSA” paid in my July pay statement on JPA?,"{'**Option 1:** The reason for the ""25 days LSA"" payment in your July pay statement on JPA is not explicitly stated in the provided search results. However, it is likely related to your entitlement to Longer Separation Allowance (LSA) based on your service history and current duty station.': 'semantic', '**Option 2:** The payment of 25 days LSA in your July pay statement on JPA could be due to various reasons. It is possible that you have completed a 9-month deployment and are eligible for an uplift or supplement to your qualifying LSA service. At each 3-month point from a completed 9-month deployment, you will receive an additional 100 days qualifying service. This could have resulted in the payment of 25 days LSA in your July pay statement.': 'hierarchy', ""**Option 3:** LSA would have been applied if the SP was not able to return to their parent unit at the weekends, or if they were classed as living in 'field conditions' for the duration of the course.  The alternative option is that LSA was applied incorrectly and GYH should have been issued (in my view, this is the likely course of events.) "": 'human'}","['10.0113', '10.0115', '10.0116', '10.0124', '10.0125', '10.0126', '10.0127', '10.0128', '10.0129', '10.0201', '10.0202', '10.0203']"
2,"I have been re-assigned to a new role at RAF High Wycombe WEF 22 Jul 24. As my new role requires me to be in the office, I have re-occupied a room in the Officers Mess. I have updated my address on JPA to reflect my temp room in the mess. I am PStat Cat 2 and therefore accommodation charges should be waived. The children are old enough to be in the house by themselves which enables me to serve unaccompanied. Please let me know if there is anything further that I need to do to facilitate my assignment moves on JPA for pay and allowances?","{'**Option 1:** Yes you are entitled to HDT.': 'human', '**Option 2:** As you have updated your address on JPA to reflect your temporary room in the Officers Mess, you do not need to take any further action to facilitate your assignment moves on JPA for pay and allowances. Since you are PStat Cat 2, your accommodation charges will be waived.': 'hierarchy', '**Option 3:** As you have updated your address on JPA to reflect your temporary room in the Officers Mess, you do not need to take any further action to facilitate your assignment moves on JPA for pay and allowances.': 'semantic'}","['05.0315', '05.0316', '05.0317', '05.0318', '05.0319', '05.0320', '05.0321', '09.1117', '12.0613', '12.0614', '12.0615', '12.0616', '12.0617', '12.0618', '12.0619', '12.0620', '12.0621', '12.0622', '12.0629', '12.0640']"
3,"I am being posted in the new few weeks and due to this move I am having to sell my primary residence, my RWA will still be in SLA or SFA (if the gods permit it). My question is that due to my house move that isn’t my RWA am I still able to claim disturbance against that? Could I clarify if the disturbance only qualifies against a RWA or can it be used against a move at the Qualifying residence as I will have to move due to my posting?","{""**Option 1:** You can claim Disturbance Expenses (DE) for the sale of your primary residence, even if it's not your RWA, as long as the sale is a direct consequence of your assignment to a new permanent duty station. The qualifying residence, in this case, is the property that is being sold due to the assignment, and it doesn't have to be a RWA. As long as you meet the general conditions, you can claim DE for the sale of your primary residence."": 'hierarchy', ""**Option 2:** You can claim disturbance expenses for your primary residence, even if it's not your RWA, as long as you're moving to a new duty station and meet the qualifying criteria. The disturbance expenses are not limited to a RWA, but can be claimed for a qualifying residence, which is a property that you own and occupy, or have previously occupied, as your primary residence."": 'semantic', '**Option 3:** You will be eligible for disturbance. The aim of Disturbance Expense (DE) is to contribute towards he necessary additional expenses that may arise when the Services require their personnel to make a qualifying move to or from a RWA on permanent assignment.': 'human'}","['12.0101', '12.0102', '12.0103', '12.0104', '12.0105', '12.0106', '12.0115', '12.0302', '12.0303', '12.0304', '12.0305', '12.0306', '12.0307', '12.0308', '12.0309', '12.0310', '12.0311', '12.0312', '12.0313', '12.0320']"
4,I’ve just checked my payslip and I appear to have been charged for SFA and single accommodation since Mar 24. I queried my accommodation charges when I first moved into SFA (Tiles 4 and 5) and was told it was a SFA by virtue of appointment (VOA) and so would only be charged the single accommodation charge (Tile 4). Is this correct? ,"{'**Option 1:** No, it is not correct. If you are occupying SFA by virtue of appointment (VOA), you should not be charged for SFA and single accommodation. You should only be charged the single accommodation charge (Tile 4).': 'hierarchy', ""**Option 2:** It seems that there might be some confusion regarding your accommodation charges. According to the regulations, if you are entitled to occupy SFA by virtue of your appointment, you should not be charged for both SFA and single accommodation. You should only be charged the single accommodation rate. It's possible that there was an error in your payslip, and you should clarify this with your unit HR or the accommodation agency to resolve the issue."": 'semantic', '**Option 3:** I have investigated this, and I can see this is an error I have now removed all charges and you will see a reimbursement in your pay statement\nwithin the next two months.': 'human'}","['05.0503', '05.0504', '09.0101', '09.0102', '09.0103', '09.0104', '09.0105', '09.0718', '09.0719', '09.0720', '09.0726']"
5,"I have been based at RAF Cranwell since 29 Apr 2024, currently living in the mess but I am in the process of purchasing
my first house. I believe I may be entitled to claim back legal expenses (ie solicitor fe
I have found the below in JSP 464:
When to Make a Claim. Refund of Legal Expenses (New Buyer) can only be
claimed in arrears on the completion of the house purchase and on production of
actual legal expense costs paid by the Service person in accordance with the ti
limits set out in JSP 752, Chapter 1. Evidence showing date of purchase completion
via production of the legal conveyancing completion statement (known as the Dat
Entry/Settlement date, on the title sheet in Scotland). Fees qualifying
reimbursement fall into the following categories:
1) Legal Fees paid to a solicitor or conveyancing legal professional.
2) Land Registry charges.
3) Telegraphic Transfers.
4) Searches.
Please can you confirm if this is something I would be entitled to and how I go about claiming back expenses?","{'**Option 1:** Yes, you may be entitled to claim back legal expenses related to the purchase of your first house. To claim Refund of Legal Expenses (RLE), you need to meet the eligibility criteria, including completing 3 years of service and having at least 12 months remaining to serve from the date of taking up the new assignment. You can claim RLE in arrears on the completion of the house purchase and on production of actual legal expense costs paid by you, within the limits set out in JSP 752, Chapter 1. You will need to provide evidence showing the date of purchase completion, such as a legal conveyancing completion statement. Qualifying fees for reimbursement include legal fees paid to a solicitor or conveyancing legal professional, land registry charges, telegraphic transfers, and searches.': 'semantic', '**Option 2:** Yes, you may be entitled to claim back legal expenses related to the purchase of your first house. To claim, you will need to wait until the completion of the house purchase and provide evidence of the actual legal expense costs paid, including the legal conveyancing completion statement (or the Date Entry/Settlement date on the title sheet in Scotland). Qualifying fees for reimbursement include legal fees paid to a solicitor or conveyancing legal professional, Land Registry charges, Telegraphic Transfers, and Searches.': 'hierarchy', '**Option 3:** You are correct, once you complete on your property you will then be able to claim RLE (please\r\ncheck that you meet the following criteria):\r\nSP must have an assignment order and have to apply within 6 months of the AO. SP have to\r\nalready have a property in their name and is their RWA on JPA. SP must get assigned more than\r\n50 miles away and new Property must be within 50 miles of new posting.\r\nChecks\r\nCheck AO (applied for within 6 months – Anything else needs to be a PAC case).\r\nCheck old RWA was property sold.\r\nCheck new RWA is the new property.\r\nMore than 1 year left in service.\r\nAlready served 3 years.\r\nNeeds to send in evidence Solicitor fees and completion letter along with form.\r\nCheck JSP 752 Chapter 12 Section 3\r\nPlease complete the attached JPAF004 with receipts and send back to Unit HR for processing': 'human'}","['12.0111', '12.0125', '12.0126', '12.0201', '12.0202', '12.0203', '12.0204', '12.0205', '12.0206', '12.0207', '12.0208', '12.0209', '12.0301', '12.0302', '12.0303', '12.0304', '12.0305', '12.0306', '12.0307', '12.0308', '12.0309', '12.0310', '12.0311', '12.0312', '12.0313', '12.0320', '12.0326', '12.0327', '12.0328', '12.0329', '12.0330', '12.0331', '12.0332', '12.0333', '12.0334', '12.0335', '12.0336', '12.0337', '12.0338', '12.0339', '12.0340', '12.0341', '12.0342', '12.0343', '12.0344']"
6,"I’m changing posting and I’m looking to use the UKPASH system although I haven’t used it before. Is there a
guidance online for how to go about this?","{'**Option 1:** Thank you for your email, I have attached the UKPASH form above and included guidance on this below. To\nclaim, please complete the attached and return. We will then approve this and you can claim any costs of\nhire through JPA expenses.\n12.0420. Private Move Arrangements – UK Private Arrangements Self-Help Scheme (UKPASH). This\nscheme does not involve the GRMS or MOD contractors. SP may make private removal arrangements\nwithin the UK instead of using FMS, RSO, and SPS, and claim the costs incurred, subject to the criteria\nprovided below:\na. SP are responsible for making their own arrangements using a commercial carrier or self-drive\nvehicle/trailer for the private move. The PE will be moved at the SP’s own risk and should be fully insured\nby them. The MOD will not be liable for\nany loss, damage, or delay. The maximum amount that can be claimed is the lower of:\n(1) The current UKPASH rate (as detailed in Chapter 3 Section 1) multiplied by the volume of PE moved\nup to a maximum of 6 CuM regardless of any higher entitlement elsewhere within this section; or\n\n(2) The receipted actual cost for the volume of PE moved.\nb. All claims for UKPASH must be supported by copies of receipted invoices in the name of the SP. If a\nprivate motor vehicle is used, claims will be paid at the Motor Mileage Allowance (MMA) rates plus\nadditional expenses incurred, such as packaging and vehicle or trailer hire. Additional MMA claims for\ntravel on assignment cannot be submitted for the same journey. Only one UKPASH consignment per\nassignment is permitted14. Applications must be pre-approved by unit HR admin staff using the form at\nAnnex B of this Section': 'human', '**Option 2:** Yes, you can find guidance on using the UKPASH system in Chapter 12 of JSP 752. It provides information on the UK Private Arrangements Self-Help Scheme, including how to make private removal arrangements, claim costs, and the criteria for using the scheme.': 'hierarchy', '**Option 3:** Yes, you can find guidance on how to use the UKPASH system online. You can access the MOD contract website at https://grms.agility.com/external/agilityLoginLoad.do?section=WELCOME, which provides information on the UKPASH system. Additionally, you can also find forms and guidance in Annex B of Chapter 12, which provides information on the UKPASH system and how to make a claim.': 'semantic'}","['02.0137', '02.0146', '12.0412', '12.0420', '12.0421', '12.0422', '12.0428', '12.0429', '12.0430', '12.0431', '12.0432', '12.0433', '12.0434']"
7,"I am looking for a little bit of guidance regarding allowances if possibl
I am currently at RAF Shawbury on Phase 2 Training were I am currently housed in SFA with my family. At the end of
February I will be moving to RAF Marham. Due to the time it takes for SFA applications to go through (and the fur
admin that comes with moving) I will initially be moving to SLA at Marham; then moving into SFA when abl
1. As I will be keeping my SFA at Shawbury but living in SLA at Marham, would I be correct in assuming I would be
entitled to Get You Hom
2. For Disturbance Expense, as I will eventually be moving from SFA to SFA should I delay putting this in un
have move into my SFA at Marham rather than when I move into SLA? IS there a limit to time after posting
claim the expense?","{""**Option 1:** Yes, you are correct in assuming you would be entitled to Get You Home (GYH) allowance, as you will be temporarily living in SLA at Marham while keeping your SFA at Shawbury. It is recommended that you delay putting in your Disturbance Expense (DE) claim until you have moved into your SFA at Marham, as you will eventually be moving from SFA to SFA. There is no specific time limit to claim the expense after posting, but it's generally recommended to claim it once you have completed the move."": 'semantic', ""**Option 2:** Yes, you are correct in assuming you would be entitled to Get You Home (GYH) travel allowance. Since you will be keeping your SFA at Shawbury but living in SLA at Marham, you can claim GYH travel to visit your family at Shawbury. For Disturbance Expense (DE), it is recommended that you delay putting in your claim until you have moved into your SFA at Marham. This is because DE is intended to cover the costs associated with setting up a new home, and claiming it when you move into SLA might not be applicable. There is no specific time limit to claim DE after posting, but it's generally recommended to claim it within a reasonable timeframe, usually within 6-12 months of the move."": 'hierarchy', '**Option 3:** If you can receive a certificate from the housing association to retain your Shawbury SFA until your\r\nfuture move, you will be able to claim GYH at your next unit.\r\nYou may retain eligibility to Disturbance Expense and movements of personal effects at public\r\nexpense within 6 months of reporting for duty, with at least a further 6 months to serve at the\r\ncurrent duty station.\r\nThe circumstances are specific, so I recommend that you read these in full in JSP 752 Chapter 12,\r\nSection 4, Paragraph 12 (12.0412) so you are confident that you meet the entitlement for your\r\nsituation.': 'human'}","['02.0107', '02.0110', '02.0205', '04.0402', '12.0109', '12.0110', '12.0111', '12.0112', '12.0113', '12.0114', '12.0115', '12.0116', '12.0117', '12.0118', '12.0119', '12.0120', '12.0121', '12.0122', '12.0123', '12.0124', '12.0125', '12.0412', '12.0803', '12.0804', '12.0805', '12.0806', '12.0807', '12.0808', '12.0809', '12.0810', '12.0811', '12.0812', '12.0813']"
8,"Me and my partner (also RAF) are purchasing a first home. We are hoping to use Forces Help to Buy and are hap
with the JPA initial processes. I just wanted to enquire if there was any other support available – a colleag
mentioned he had help towards solicitors fees, any guidance/ where to look would be greatly appreciated.","{""**Option 1:** You may be eligible for a refund of legal expenses related to the purchase of your first home through the Relocation Expenses (RLE) scheme. This scheme is designed to help service personnel with the costs of buying and selling properties when they are assigned to a new duty station. The RLE scheme can refund certain expenses, including solicitor's fees, stamp duty, land registration fees, and other costs associated with buying and selling properties. To be eligible, you must meet certain conditions, such as owning the property, purchasing a new property at your new duty station, and meeting the time limits for selling and purchasing properties. You should consult with your unit HR staff or the DBS MIL PERS-MIL OPS PACCC to determine your eligibility for the RLE scheme and to get guidance on the application process."": 'hierarchy', '**Option 2:** There’s lots of information on refund of legal expenses etc in JSP 752, Ch 12, Sec 3 (please see\r\nattached)': 'human', ""**Option 3:** You may be eligible for Relocation Expenses (RLE) which can refund legal expenses incurred during the sale and purchase of a property. This includes solicitor's fees, estate agent's fees, and advertising costs. To claim RLE, you will need to submit an Expenses Claim as detailed in the JPA Self Service User Guide. You can also consult with unit HR Admin staff for guidance on the process."": 'semantic'}","['06.0814', '12.0309', '12.0313', '12.0314', '12.0315', '12.0316', '12.0317', '12.0318', '12.0319', '12.0320', '12.0321', '12.0324', '12.0325', '12.0326', '12.0327', '12.0328', '12.0329', '12.0330', '12.0331', '12.0332', '12.0333', '12.0334', '12.0335', '12.0336', '12.0337', '12.0338', '12.0339', '12.0340', '12.0341', '12.0342', '12.0343', '12.0344']"
9,"I hope you are all well, please may I request some D and G on the below sketch.

NOTIFICATION
1. I am currently on a visit to the MET Office in Exeter (Home unit RAF High Wycombe).
Accomodated in a HRG booked hotel and driving an MT fleet car.
2. This visit is iaw the criteria laid out in the approved business case (PSA).
REQUEST DIRECTION
3. I have saved all of my reciepts from this trip so far and have paid all meals out of my own
pocket. Some days have been slightly over and some under the £30 subsistence stated on
the BC.
4. The hotel has informed me that I will have to pay for parking (£15.00 a day) at their facility,
which was not anticipated.
5. My question is, how do I claim all of my expenses back from the MET office trip? Specififcally,
what JPA allowance would this fall under (subsistence, FIA etc)?
TIMING
6. IAW HR 1 Battle Rhythm.","{'**Option 1:** To claim your expenses, you should submit a claim through the JPA Expenses Claim system. You will need to retain all receipts, including those for parking, as supporting documentation. For meals, you can claim the actual costs incurred, up to the daily subsistence rate of £30. You may also claim the parking fees as an additional expense. The relevant JPA allowance for this claim would be Subsistence (for meals) and Additional Fees (for parking).': 'hierarchy', '**Option 2:** Parking fees can be claimed on JPA expenses under other duty travel, it’s on the same drop-down menu as subsistence\r\nexpense.\r\nYou can claim day subsistence for the food up to the daily £30 cap, the claim amount should either the receipted costs\r\nor the daily cap, whichever is lower.': 'human', '**Option 3:** You should claim your expenses through the JPA Expenses Claim system. For meals, you can claim the actual costs incurred, as you have receipts. For parking, you can claim the actual cost of £15.00 per day as it was not anticipated. The JPA allowance for this would fall under Subsistence, as it is related to meals and other daily expenses.': 'semantic'}","['05.0404', '05.0405', '05.0406', '05.0407', '05.0408', '05.0409', '05.0410', '05.0411', '05.0412', '05.0606', '05.0607', '05.0608', '05.0609', '05.0610', '05.0611', '05.0612', '06.0359', '06.0360', '06.0401', '06.0402', '06.0403', '06.0404', '06.0405', '06.0409', '06.0410', '06.0411', '06.0412', '06.0413', '06.0414', '06.0415', '06.0416', '06.0417', '06.0501', '06.0502', '06.0503', '06.0504', '06.0901', '06.0902', '06.0904', '06.0905', '06.0906', '06.0907', '06.0908', '06.0909', '06.0910', '06.0911', '06.0912', '06.0913', '09.0211', '09.0216', '09.0217', '09.0218']"
